sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
57006466,7.4,6.0,4.4,,,,5.75,7.75,8.75,N1
56006561,5.6,5.5,3.6,,,,8.0,6.5,8.0,N1
62003045,6.0,6.75,3.2,,,,6.25,7.0,9.0,N1
27000467,7.4,9.0,6.4,,,,5.5,7.0,8.25,N1
29031800,7.6,8.0,4.6,7.5,8.0,6.25,,,,N1
3005567,5.2,6.75,3.6,,,,6.25,6.75,8.0,N1
16011827,7.8,7.75,4.4,,,,8.75,9.0,9.5,N1
29036227,7.2,,,2.75,7.25,8.25,,,,
42008828,3.6,5.25,3.2,,,,5.25,5.25,5.25,N1
2021149,7.8,7.0,7.8,3.25,8.25,7.25,,,,N1
46006927,7.8,5.75,8.6,8.5,4.25,4.0,,,,N1
43002423,7.4,6.5,4.8,,,,8.5,9.25,9.5,N1
7002439,5.6,4.25,4.6,,,,5.25,6.5,7.5,N1
36003034,8.6,6.5,9.4,9.25,6.0,6.0,,,,N1
1083200,6.8,6.75,1.8,5.5,2.75,2.25,,,,N1
29016460,8.4,8.25,6.0,8.25,8.75,8.25,,,,N1
29027118,8.4,8.0,5.4,8.0,8.25,5.25,,,,N1
10000480,4.4,6.0,,,,,5.0,5.75,,
54010916,7.4,6.0,5.4,4.75,6.5,7.5,,,,N1
9007729,5.2,5.25,4.0,,,,6.5,7.5,8.0,N1
12014360,5.8,7.75,6.0,,,,7.25,7.0,8.75,N1
53015681,7.6,9.0,7.4,7.5,7.25,7.5,,,,N1
34010746,6.4,7.0,6.8,5.5,4.5,5.75,,,,N1
29022463,5.8,7.0,,,,,7.25,6.75,,
37018784,7.2,7.75,5.0,,,,8.5,7.75,8.25,N1
10000770,4.4,5.5,3.6,,,,3.75,6.0,7.5,N1
17012578,5.8,4.5,,,,,6.25,7.25,,
48009236,6.4,8.25,5.2,,,,8.75,9.25,8.5,N1
38014392,5.4,6.25,7.0,,,,5.75,7.75,8.75,N1
1017242,7.4,6.83,,,,,6.75,6.75,,
34012880,6.0,5.0,3.4,,,,4.75,7.0,7.25,N1
4010916,6.6,9.0,4.4,,,,6.5,9.5,9.5,N1
49010054,7.0,8.25,7.4,8.25,7.75,6.5,,,,N1
40004109,2.0,4.75,,,,,4.25,4.5,,
27003189,6.8,9.0,5.0,,,,8.75,7.5,9.0,N1
2006512,8.2,6.75,8.6,6.5,4.5,6.25,,,,N1
44014360,8.0,7.0,3.6,8.0,7.5,7.0,,,,N1
4005862,7.2,7.0,5.4,,,,5.5,6.75,6.5,N1
19012349,5.2,8.25,5.0,,,,7.75,7.25,9.0,N1
53000767,3.8,6.0,3.2,,,,7.0,9.0,7.25,N1
34015160,7.0,6.75,3.0,8.25,5.5,6.75,,,,N1
64005211,4.8,5.25,3.6,,,,4.0,7.0,8.5,N1
15000653,7.4,9.25,6.8,,,,7.75,8.25,9.25,N1
2087848,5.0,6.0,,,,,7.0,7.25,,
3007838,8.2,8.0,8.4,,,,7.75,9.75,9.25,N1
42003743,5.0,7.0,5.4,,,,6.75,7.25,8.5,N1
57003996,6.8,7.0,5.6,,,,6.0,8.75,8.5,N1
47009579,8.0,7.0,6.0,6.5,5.5,7.25,,,,N1
2046517,7.4,8.5,8.6,,,,7.0,9.25,9.0,N1
2009815,7.4,8.0,,,,,8.75,8.5,9.75,
1079211,3.6,7.25,,,,,4.75,7.0,,
31010508,7.0,6.75,3.8,,,,7.75,8.25,8.0,N1
26016136,7.0,7.5,6.0,,,,8.0,8.0,9.75,N1
33007867,8.0,6.5,2.8,6.75,2.5,3.5,,,,N1
1040779,7.0,9.0,4.8,,,,4.5,6.5,7.5,N1
1050672,8.2,9.25,9.0,,,,9.25,8.25,9.0,N1
35008784,5.4,7.0,4.8,7.75,7.5,2.25,,,,N1
53004564,5.8,6.25,3.4,,,,6.5,7.75,7.5,N1
55000668,6.6,7.0,5.0,,,,5.75,7.75,9.25,N1
40010687,3.0,4.75,1.8,,,,2.75,4.0,6.5,N1
42004073,6.2,8.0,4.8,,,,4.75,7.5,8.5,N1
10004670,4.6,8.25,3.4,,,,6.25,8.0,8.0,N1
1082753,6.6,6.25,3.0,,,,6.25,7.5,7.5,N1
48018074,7.4,6.5,6.0,6.25,6.75,7.75,,,,N1
41005627,6.2,7.75,6.0,,,,5.25,5.5,7.5,N1
1010960,6.8,8.0,8.6,,,,8.0,7.5,7.25,N1
25019672,6.6,8.0,5.6,4.5,7.25,6.5,,,,N1
2039959,6.0,7.5,6.0,4.25,4.25,5.0,,,,N1
2071335,4.8,7.0,5.6,4.75,5.25,4.25,,,,N1
2003861,7.0,6.5,8.2,7.5,7.25,6.0,,,,N1
27009881,8.0,9.0,5.4,,,,8.75,9.5,9.75,N1
12014397,3.4,6.25,2.6,,,,5.5,7.0,6.75,N1
58003966,3.4,7.5,4.0,,,,4.25,4.25,7.75,N1
2028902,8.4,6.0,7.2,8.0,5.5,6.25,,,,N1
61000031,7.4,4.5,7.4,7.25,4.25,7.75,,,,N1
58000368,7.4,9.0,6.6,7.75,7.75,7.75,,,,N1
19008101,6.8,8.25,,,,,8.75,6.5,7.75,
